GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,60,0,2,2,BasicMCTS,44.0,59.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
879079583,SushiGo,3,GAME_OVER,60,0,2,3,BasicMCTS,35.0,63.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-619666105,SushiGo,3,GAME_OVER,60,0,2,4,BasicMCTS,45.0,54.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
503938916,SushiGo,3,GAME_OVER,60,0,2,5,BasicMCTS,50.0,42.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-428737539,SushiGo,3,GAME_OVER,60,0,2,6,BasicMCTS,46.0,49.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1745970416,SushiGo,3,GAME_OVER,61,0,2,7,BasicMCTS,53.0,66.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1436161366,SushiGo,3,GAME_OVER,60,0,2,8,BasicMCTS,37.0,50.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
-1151041315,SushiGo,3,GAME_OVER,62,0,2,9,BasicMCTS,49.0,41.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
697067980,SushiGo,3,GAME_OVER,60,0,2,10,BasicMCTS,49.0,63.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
1168140970,SushiGo,3,GAME_OVER,61,0,2,11,BasicMCTS,48.0,53.0,osla,2,BasicMCTS,2,1,1,osla,osla,BasicMCTS,0
346665430,SushiGo,3,GAME_OVER,60,0,2,12,osla,45.0,45.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
879079583,SushiGo,3,GAME_OVER,60,0,2,13,osla,64.0,26.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
-619666105,SushiGo,3,GAME_OVER,60,0,2,14,osla,51.0,50.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
503938916,SushiGo,3,GAME_OVER,60,0,2,15,osla,45.0,34.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
-428737539,SushiGo,3,GAME_OVER,60,0,2,16,osla,46.0,49.0,BasicMCTS,2,osla,2,1,1,BasicMCTS,BasicMCTS,osla,0
-1745970416,SushiGo,3,GAME_OVER,60,0,2,17,osla,65.0,64.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
-1436161366,SushiGo,3,GAME_OVER,61,0,2,18,osla,55.0,27.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
-1151041315,SushiGo,3,GAME_OVER,61,0,2,19,osla,50.0,42.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
697067980,SushiGo,3,GAME_OVER,60,0,2,20,osla,52.0,53.0,BasicMCTS,2,osla,2,1,1,BasicMCTS,BasicMCTS,osla,0
1168140970,SushiGo,3,GAME_OVER,60,0,2,21,osla,59.0,41.0,BasicMCTS,1,osla,1,2,2,BasicMCTS,BasicMCTS,osla,1
